compteur_id,timestamp,consommation,type_client,wilaya,ville,localisation,region,code_postal,fournisseur,tarif,puissance_souscrite,type_compteur
345678,2024-05-24 03:36:16,10.287 kWh,Residentiel,Oran,Es Sénia,"35.6475,-0.6231",Sud,31100,Sonelgaz,0.12,6 kW,Smart Meter Gen 2
987654,2024-05-24 03:51:16,70.899 kWh,Commercial,Biskra,El Hadjeb,"34.8511,5.7416",Sud,75006,Sonelgaz,0.14,3 kW,Smart Meter Gen 1
123456,2024-05-24 04:06:16,55.873 kWh,Commercial,Oran,Bir El Djir,"35.7106,-0.5625",Sud,31130,Power Algeria,0.16,15 kW,Smart Meter Gen 3
987654,2024-05-24 04:21:16,85.197 kWh,Industriel,Oran,Es Sénia,"35.6475,-0.6231",Ouest,31100,Sonelgaz,0.14,3 kW,Smart Meter Gen 3
987654,2024-05-24 04:36:16,65.614 kWh,Industriel,Biskra,"M""Chouneche","34.9639,6.0822",Nord,75008,Power Algeria,0.12,6 kW,Smart Meter Gen 1
123456,2024-05-24 04:51:16,95.157 kWh,Commercial,Biskra,El Hadjeb,"34.8511,5.7416",Ouest,75006,Sonelgaz,0.14,15 kW,Smart Meter Gen 3
987654,2024-05-24 05:06:16,84.644 kWh,Commercial,Biskra,Sidi Khaled,"34.4264,4.9431",Sud,75300,Energy Plus,0.12,6 kW,Smart Meter Gen 2
789012,2024-05-24 05:21:16,30.468 kWh,Industriel,Alger,Oued Smar,"36.7,3.1833",Centre,16270,Energy Plus,0.12,9 kW,Smart Meter Gen 2
345678,2024-05-24 05:36:16,94.574 kWh,Residentiel,Biskra,Sidi Khaled,"34.4264,4.9431",Ouest,75300,Power Algeria,0.14,6 kW,Smart Meter Gen 2
123456,2024-05-24 05:51:16,52.302 kWh,Commercial,Alger,Oued Smar,"36.7,3.1833",Centre,16270,Energy Plus,0.12,12 kW,Smart Meter Gen 1
789012,2024-05-24 06:06:16,49.516 kWh,Industriel,Biskra,Sidi Khaled,"34.4264,4.9431",Centre,75300,Energy Plus,0.14,6 kW,Smart Meter Gen 3
123456,2024-05-24 06:21:16,1.555 kWh,Residentiel,Alger,El Harrach,"36.7146,3.1319",Ouest,16200,Energy Plus,0.14,6 kW,Smart Meter Gen 1
789012,2024-05-24 06:36:16,18.416 kWh,Industriel,Oran,Es Sénia,"35.6475,-0.6231",Est,31100,Power Algeria,0.12,6 kW,Smart Meter Gen 1
987654,2024-05-24 06:51:16,21.83 kWh,Industriel,Biskra,El Hadjeb,"34.8511,5.7416",Centre,75006,Sonelgaz,0.16,9 kW,Smart Meter Gen 2
654321,2024-05-24 07:06:16,87.151 kWh,Residentiel,Alger,Oued Smar,"36.7,3.1833",Centre,16270,Energy Plus,0.14,3 kW,Smart Meter Gen 1
789012,2024-05-24 07:21:16,42.23 kWh,Commercial,Oran,Bir El Djir,"35.7106,-0.5625",Ouest,31130,Energy Plus,0.12,15 kW,Smart Meter Gen 3
123456,2024-05-24 07:36:16,54.891 kWh,Industriel,Oran,Bir El Djir,"35.7106,-0.5625",Ouest,31130,Power Algeria,0.14,6 kW,Smart Meter Gen 1
654321,2024-05-24 07:51:16,88.196 kWh,Industriel,Alger,El Harrach,"36.7146,3.1319",Est,16200,Power Algeria,0.14,9 kW,Smart Meter Gen 2
