compteur_id,timestamp,consommation,type_client,wilaya,ville,localisation,region,code_postal,fournisseur,tarif,puissance_souscrite,type_compteur,consommation_8h,categorie_client,ratio_consommation
789012,2024-05-24 02:39:56,3.86500 kWh,Industriel,ALGER,EL HARRACH,"36.7146,3.1319",Est,16200,POWER_ALGERIA,0.14,12.0,Smart Meter Gen 1,30.92000 kWh,Consommation moyenne,0.32208333333333333
123456,2024-05-24 02:54:56,77.47500 kWh,Residentiel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Sud,31130,SONELGAZ,0.16,9.0,Smart Meter Gen 3,619.80000 kWh,Forte consommation,8.608333333333333
654321,2024-05-24 03:09:56,11.87400 kWh,Industriel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Ouest,16024,SONELGAZ,0.14,3.0,Smart Meter Gen 3,94.99200 kWh,Forte consommation,3.958
123456,2024-05-24 03:24:56,55.85600 kWh,Commercial,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Nord,75008,ENERGY_PLUS,0.16,3.0,Smart Meter Gen 1,446.84800 kWh,Forte consommation,18.618666666666666
789012,2024-05-24 03:39:56,44.40200 kWh,Residentiel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Nord,31130,SONELGAZ,0.14,15.0,Smart Meter Gen 1,355.21600 kWh,Forte consommation,2.9601333333333333
654321,2024-05-24 03:54:56,42.14200 kWh,Residentiel,ALGER,EL HARRACH,"36.7146,3.1319",Sud,16200,SONELGAZ,0.14,3.0,Smart Meter Gen 1,337.13600 kWh,Forte consommation,14.047333333333334
123456,2024-05-24 04:09:56,62.33900 kWh,Residentiel,ORAN,AÏN TURK,"35.7435,-0.7695",Sud,31300,POWER_ALGERIA,0.14,9.0,Smart Meter Gen 1,498.71200 kWh,Forte consommation,6.926555555555556
789012,2024-05-24 04:24:56,25.30400 kWh,Industriel,BISKRA,SIDI KHALED,"34.4264,4.9431",Ouest,75300,SONELGAZ,0.14,15.0,Smart Meter Gen 2,202.43200 kWh,Forte consommation,1.6869333333333332
345678,2024-05-24 04:39:56,52.92600 kWh,Industriel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Nord,75008,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 2,423.40800 kWh,Forte consommation,8.821
345678,2024-05-24 04:54:56,26.64400 kWh,Commercial,ORAN,ES SÉNIA,"35.6475,-0.6231",Nord,31100,SONELGAZ,0.16,3.0,Smart Meter Gen 1,213.15200 kWh,Forte consommation,8.881333333333332
